hotel_id,bed_type,url,description
1,King,https://www.wyndhamhotels.com/content/dam/property-images/en-us/se/us/ok/vinita/02946/02946_guest_room_6.jpg?downsize=1800:*,Our King room is perfect for couples or a small family. Come stay with us to relax or just get away. 
1,Queen,https://www.wyndhamhotels.com/content/dam/property-images/en-us/se/us/ok/vinita/02946/02946_guest_room_8.jpg?downsize=1800:*,These superior queen rooms have everything you need for a fabulous excursion. 
2,King,https://www.hotelcasamunras.com/resourcefiles/roomssmallimages/traditional-king-room-available-at-casa-munras-garden-hotel-spa-monterey-th.jpg,"Redesigning with inviting, Spanish decor this room features a plush king bed, granite bathroom, and a comfortabe work desk. Approximately 200 square feet."
2,Queen,https://www.hotelcasamunras.com/resourcefiles/roomssmallimages/traditional-queen-queen-room-available-at-casa-munras-garden-hotel-spa-monterey-th.jpg,"Timeless, hacienda-inspired decor adorns this room, featuring two queen beds, a granite bathroom, and are approximately 250 square feet. "
3,King,https://t-ec.bstatic.com/images/hotel/max1024x768/132/132467617.jpg,Our king size rooms are perfect for a night alone or for a happy couple.
3,Queen,https://images.trvl-media.com/hotels/1000000/910000/909400/909329/3f797618_z.jpg,These queen rooms serve the intended design use. 
4,King,https://s-ec.bstatic.com/images/hotel/max1024x768/108/108182176.jpg,"Oceanfront view, balcony, 32-inch LCD HDTV, work desk, coffeemaker, free WiFi, sofa bed

Take in impressive views of the Atlantic Ocean and white sandy beaches from the balcony of this comfortable room featuring a clean and fresh Hampton bed®. Watch a movie on the 32-inch LCD TV with HD channels and utilize the cozy sofa bed to sleep additional guests.

This room features a large work desk and free WiFi to allow you to catch up on business. The bathroom contains plush towels, a spacious dressing area and a shower with a curved shower rod, offering more space and light. Enjoy a cup of warm, fresh coffee from the coffee/tea maker in your room.
"
4,Queen,https://media.expedia.com/hotels/1000000/30000/26800/26716/26716_94_z.jpg,"Oceanfront view, balcony, 32-inch LCD HDTV, work desk, coffeemaker, free WiFi, seating area

Enjoy stunning ocean and beach views from the balcony of this comfortable room featuring two clean and fresh Hampton beds®. Unwind in the soft seating area and watch your favorite TV show on the 32-inch LCD TV with HD channels.

Catch up on business at the spacious work desk and stay connected with free WiFi. The bathroom offers a large dressing area, fluffy towels and a shower with a curved shower rod, providing more space and light when showering.

The room also includes a coffee/tea maker for your convenience.
"
5,King,https://thumbnails.trvl-media.com/fw2vzTKH2sLtF3JC6M7cJRzFHoE=/773x530/smart/filters:quality(60)/images.trvl-media.com/hotels/14000000/13110000/13100400/13100360/a5c794be_z.jpg,Unless you like to live on the edge don't sleep here alone. In the heart of the valley by Universal Studios. 
5,Queen,https://media-cdn.tripadvisor.com/media/photo-m/1280/13/37/0d/65/blvd-signature-suite.jpg,Perfect place to stay for a family who does not want to spend the money for a place that is probably not that safe. Though we are located close to Hollywood and all the things people love to see. 
6,King,https://images.trvl-media.com/hotels/1000000/10000/1000/958/14367571_z.jpg,When you want to have a romantic night out but don't want to spend the money. This king room offers all the best Glendale has to offer. 
6,Queen,https://pix10.agoda.net/hotelImages/280186/32184398/cb68b7807736bb162c71dfe1d3b2fd33.jpg,Our two queen room is perfect for a family visiting LA. Enough space to stretch and relax. 
7,King,"https://img1.wsimg.com/isteam/ip/3eb60124-2fad-440b-b95e-69522d32e199/91ed2df8-620e-4853-95e3-396545e43bdc.JPG/:/rs=w:600,h:750,cg:true,m/cr=w:1200,h:750,a:cc","This spacious room has a great street side view of Dunsmuir Avenue. It hosts a comfortable California King sized bed and a sleeper sofa. The kitchenette includes a mini fridge, sink, microwave and coffee maker. The bathroom has heat controlled tiles, dual sinks, vanity mirrors and a shower bathtub combination. Additional features include on-demand water heating, precision temperature control and the beauty of original hardwood flooring "
7,Queen,"https://img1.wsimg.com/isteam/ip/3eb60124-2fad-440b-b95e-69522d32e199/24f13372-ac4b-4890-bdd3-0f4f53276bdd.JPG/:/rs=w:600,h:750,cg:true,m/cr=w:1200,h:750,a:cc","This room has a Queen sized bed. The kitchenette includes a mini fridge, sink, microwave and coffee maker. The bathroom contains heat controlled tiles, a vanity mirror and a shower with a built in bench. Additional features include on-demand water heating, precision temperature control and the beauty of original hardwood flooring "
8,King,https://www.travlu.com/111/hotelimages/hotelglenpoolok/Hotel-Glenpool-Single-Bed-1.jpg,Great retreat for a solo traveler or room for two. 
8,Queen,https://www.travlu.com/111/hotelimages/hotelglenpoolok/Hotel-Glenpool-Double-Beds-1.jpg,Great place to stay for a small family with zero friends! 
9,King,https://whiteriverinn.com/wp-content/uploads/photo-gallery/2.jpg?bwg=1543504349,"Our Single King Rooms are ideal for business travelers or a couple looking for a spacious room to relax in! These rooms include a king sized bed, a small table, a cozy sofa, and a coffee table.  This room also features a flat screen TV and free Wi-Fi internet as well as your basic household amenities including a refrigerator, microwave, and coffee maker."
9,Queen,https://whiteriverinn.com/wp-content/uploads/photo-gallery/room_118.jpg?bwg=1543504349,"Our Double Queen Rooms are ideal for anyone seeking comfort and space! These rooms include a two queen sized beds, a table, a cozy sofa, and a coffee table.  This room also features a flat screen TV and free Wi-Fi internet as well as your basic household amenities including a refrigerator, microwave, and coffee maker."
10,King,"https://webbox.imgix.net/images/zylmgvnxxoqkmlqw/75387e05-5070-4d07-9adf-a1eb61ac778a.jpg?auto=format,compress&fit=crop&crop=entropy&w=750&h=600",All our king rooms have a wonderful view and are ver secure. 
10,Queen,"https://webbox.imgix.net/images/zylmgvnxxoqkmlqw/74bbb4fb-2982-4293-a132-f59e12c0dc9a.jpg?auto=format,compress&fit=crop&crop=entropy&w=750&h=600",Our queen rooms are spacious and have all the best views. 
11,King,https://www.goldennugget.com/globalassets/las-vegas/hotel/carson-tower/ct-premium-king/carsontower-premium-king-565x295.jpg,"With finishes of marble, mahogany and leather, these flawlessly-decorated rooms provide an unforgettable experience of boundless luxury. Enjoy the extravagance of a high-rise king bed topped bedding. Lounge on your decadent leather sectional and take in views of Las Vegas. At 378 square feet, no detail goes without thought, right down to the mounted rainfall showerhead. Your Las Vegas luxury hotel experience awaits."
11,Queen,https://pix10.agoda.net/hotelImages/563/5636/5636_17102804290058412647.jpg,"Experience relaxation at first sight when you reserve one of our Queen Rooms. Take a closer look and discover first-rate amenities including two luxurious double beds enveloped by upscale linens, a 42” TV, remote AC controls, a spa-like bathroom, designer lighting, and finishes in refined hues and lush textures. It’s everything a modern traveler needs, and more than you expect."
11,Spa Suite,https://www.goldennugget.com/contentassets/e8e65a33f16f421592865c6de411d1a9/spa-suite-3-995x525.jpg,"These newly-renovated Golden Nugget suites are resplendent with luxury and comfort. The renovation of the ultra-luxe, two-story space reveals the city’s most spectacular views from floor-to-ceiling panoramic windows surrounding the suite’s 1,200-square feet of indoor living space. Entertaining while you’re in town? Impress your guests with a sprawling living area with two leather sections, wet bar, and dining room table for four. A gilded staircase beckons those in search of slumber to a loft-like bedroom retreat complete with a lavish marble bath where you can unwind in complete decadence. "
12,King,https://cache.marriott.com/marriottassets/marriott/LAXSI/laxsi-guestroom-0880-hor-wide.jpg?downsize=*:472px,"Relax and unwind in fabulous egyptian cotton bedding, take a plunge in the spa size tub, or just vegg-out watching your favorite programing on a 50"" T.V."
12,Queen,https://cache.marriott.com/marriottassets/marriott/LAXSI/laxsi-guest-room-0878-hor-wide.jpg?downsize=*:472px,Full views of the bustleing action of Los Angeles. A quaint room with all the basic necessities expected. 
13,King,https://gc.synxis.com/hotel/63035/Images/Room/rs_480x0_Guest_Room_King.jpg,"A beautifully appointed room that is 390 sq. ft. along with stunning views of downtown Los Angeles that includes a brand new King-size Sealy Perfect Sleeper bed with 300 thread-count sheets, 40” flat panel TVs, extendable desks, floor to ceiling windows, mini-refrigerators, laptop safes, brand new marble and stone bathrooms (with great water pressure), LED reading lights, an iHome stereo with white noise, and even extra electrical outlets by the bed."
13,Queen,https://lh5.googleusercontent.com/p/AF1QipOTqzkj61nFVwIcn99kvQ6yjfO3l2X7j8xmSUN0=w592-h404-n-k-no-v1,"A beautifully appointed room with two queen size beds that is 420 sq. ft. along with stunning views of downtown Los Angeles that includes brand new Sealy Perfect Sleeper beds with 300 thread-count sheets, 40” flat panel TVs, extendable desks, floor to ceiling windows, mini-refrigerators, laptop safes, brand new marble and stone bathrooms (with great water pressure), LED reading lights, an iHome stereo with white noise, and even extra electrical outlets by the bed."
14,King,https://www.travelyosemite.com/media/784541/mary-curry-tresidder-suite-2_1000x667.jpg,Several rooms offer balconies with stunning views of Yosemite's most iconic cliffs and waterfalls. Balconies are most often shared with the adjoining room. Balcony sizes vary.
14,Queen,https://reservations.ahlsmsworld.com/Yosemite/_Content/YosemiteAssets/images/sms_product_extended_data/classicdouble.jpg,"Our Classic Hotel Rooms are finely appointed with lovely views of Glacier Point, Half Dome, or Yosemite Falls, as well as the hotel surroundings."
15,King,https://r-ak.bstatic.com/images/hotel/max1280x900/957/95730779.jpg,"Has an oceanfront view, king-size bed, LCD CABLE TV, kitchenette, telephone, air-conditioning and private balcony."
15,Queen,http://www.bluechairsresort.com/site/images/fotoscuartosgrandes/OCEAN%20VIEW%20ROOM%202.JPG,"Comfortable room, with a partial ocean view, two queen beds , LCD CABLE TV, telephone, air-conditioning and a private balcony. "
16,King,https://assets.hyatt.com/content/dam/hyatt/hyattdam/images/2015/04/27/1537/Hyatt-Regency-Savannah-P047-City-King.jpg/Hyatt-Regency-Savannah-P047-City-King.16x9.adapt.1280.720.jpg,Appreciate semi-private outdoor space with patio seating on our restyled Garden Terrace. Walk out Garden Terrace access. 
16,Queen,https://assets.hyatt.com/content/dam/hyatt/hyattdam/images/2015/04/27/1537/Hyatt-Regency-Savannah-P046-City-Double.jpg/Hyatt-Regency-Savannah-P046-City-Double.16x9.adapt.1280.720.jpg,"Enjoy a private balcony guestroom with queen beds and watch the river flow by your stylish and contemporary Savannah, Georgia lodging in the heart of America’s largest historic district. 
"
17,King,https://cache.marriott.com/marriottassets/marriott/MSYQF/msyqf-balcony-room-8396-hor-wide.jpg?interpolation=progressive-bilinear&downsize=1064px:*,Enjoy the sights and scenes of historic Bourbin street. Each room features our plush Four Points by Sheraton Four Comfort Beds™ with carved-wood headboards.
17,Queen,https://cache.marriott.com/marriottassets/marriott/MSYQF/msyqf-balcony-room-8393-hor-feat.jpg?interpolation=progressive-bilinear&downsize=1180px:*,Take in the essence of NOLA. This room offers a balcony so you don't have to miss any of the action. 
18,King,https://gc.synxis.com/hotel/69958/Images/Room/rs_1400x0_13_dmr_rooms.jpg,"Perfect for solo travelers or couples, this spacious room features a comfy king-size bed and full bath with tub, plus a working desk with multiple charging stations. Sleeps up to 2 guests."
18,Queen,https://gc.synxis.com/hotel/69958/Images/Room/rs_1400x0_25[1].jpg,"Featuring two queen-size beds, this family-friendly room with full bath includes a tub, and the room offers a working desk with multiple charging stations. Sleeps up to 4 guests"
19,King,"https://media.deseretdigital.com/file/d877154103?crop=top:0%7Cleft:0%7Cwidth:620%7Cheight:400%7Cgravity:Center&quality=55&interlace=none&resize=width:620&order=resize,crop&c=14&a=fd81d718",Our rustic Frontier Cabins can sleep up to three people maximum with one king sized bed. The rooms also include a 3/4 bath with a shower. Rollaway beds are not permitted.
19,Queen,https://www.mygrandcanyonpark.com/.image/t_share/MTUxMzA2NjM4OTAzNDg2Mjg2/gc-nrim-cabin_ordelheide_700.jpg,"Cabins are spacious with two queen-sized beds, a full bath and a front porch. All are nestled in the pines. Most of these cabins sleep four people comfortably. Rollaway beds and cribs are permitted."
20,King,https://www.zionlodge.com/assets/ZionLodge-Cabin-CQ1R.jpg,"All Zion cabins are non-smoking, and located in buildings that are separate from the main lodge building. The cabins are in duplex or quadplex buildings and are within walking distance of the lodge. The Western Cabins feature one king bed, full bath, gas fireplace, telephone, clock radio, in-room coffee maker, microwave, mini-refrigerator, free high-speed internet access, air conditioning, and a porch. There is no television in the cabin. Each cabin sleeps up to 2 people comfortably."
20,Queen,https://www.zionlodge.com/assets/ZionLodge-Standard-SQ2.jpg,"All Zion cabins are non-smoking, and located in buildings that are separate from the main lodge building. The cabins are in duplex or quadplex buildings and are within walking distance of the lodge. The Western Cabins feature two queen size beds, full bath, gas fireplace, telephone, clock radio, in-room coffee maker, microwave, mini-refrigerator, free high-speed internet access, air conditioning, and a porch. There is no television in the cabin. Each cabin sleeps up to 4 people comfortably. "
21,Villa,http://www.destination360.com/north-america/us/nevada/las-vegas/images/s/las-vegas-villas.jpg,"Lavish Vegas Estates

The Villas at Bellagio offer a rarefied experience for guests who are accustomed to the finest things in life. Privacy is paramount within these nine lavish estates adorned in classic European design. Each of our 6,500-square-foot, two-bedroom/five-bathroom Villas feature an in-suite workout facility, a massage room, a dry sauna, a private hair salon, a private kitchen, a formal dining room, a full bar stocked with guests' favorite beverages, a dual fireplace, and a gorgeous private terrace and garden with a pool and whirlpool.
"
21,King,https://static.mgmresorts.com/content/dam/MGM/bellagio/hotel/resort-room-king-sapphire/architecture/bellagio-hotel-resort-room-king-sapphire.tif.image.1440.550.high.jpg,"The Fountain View Rooms offer beautiful vantage points to take in the famed Fountains of Bellagio, against a backdrop of the Las Vegas Strip. Inside, relax in impeccable surroundings, featuring a rich green tea and plum, or indigo and platinum, palette, with a marble foyer and eucalyptus furnishings. Customize your stay with mood lighting, individual climate controls and reading lights, plus automatic drape and sheer controls."
21,Queen,https://static.mgmresorts.com/content/dam/MGM/bellagio/hotel/resort-room-queen-orange/architecture/bellagio-hotel-resort-queen-room-fountain-view.tif.image.1440.550.high.jpg,"The Fountain View Queen Rooms offer beautiful vantage points for the famed Fountains of Bellagio with the beautiful backdrop of the Las Vegas Strip. These rooms are located in Bellagio Tower's North and South Wings with double Queen sized beds. These luxurious 510 square-foot rooms offer marble flooring in the foyer, a convenient sitting area with frosted glass top desk and a sophisticated entertainment center. Mood lighting, individual climate controls and individually controlled reading lights offer guests comfort and convenience. Your custom-designed Fountain View Queen Room is uniquely enhanced with sophisticated amenities including a 40"" LCD Flat Panel HDTV, two Queen sized Bellagio-branded cashmere top mattresses, iPod MP3 docking stations, personal in-room safe, automatic drapery with sheer controls and fully integrated technology allowing for mobile devices to be viewed on your room's high-definition flat-panel television."
22,Villa,https://static.mgmresorts.com/content/dam/MGM/the-mirage/hotel/the-villas/mirage-villas-backyard-pool-exterior-night.tif.image.960.540.high.jpg,"Blending culture, cuisine, fine art, lifestyle and pure entertainment, The Villas place you in the upper limits of luxury. A private gated entrance leads you to a secluded wing of The Mirage, where you'll be pampered in the trappings of luxury by a 24-hour staff of chefs and butlers."
22,King,https://static.mgmresorts.com/content/dam/MGM/the-mirage/hotel/guest-rooms/mirage-hotel-volcano-view-room-king.tif.image.1440.550.high.jpg,"A spacious resort room equipped with guaranteed Premium Volcano Views. Each room will feature The Mirage Serta Perfect Sleeper® pillow top mattress, feather down pillows and comforter, 42"" LCD TV, JBL Horizon Bluetooth Speaker and office chairs designed to provide maximum support and flexibility. Tucked away will be an iron, ironing board, hair dryer and private, in-room safe for added convenience."
22,Queen,https://r-ak.bstatic.com/images/hotel/max1280x900/145/145546473.jpg,"A spacious resort room equipped with two queen size beds and guaranteed Premium Volcano Views. Each room will feature The Mirage Serta Perfect Sleeper® pillow top mattress, feather down pillows and comforter, 42"" LCD TV, JBL Horizon Bluetooth Speaker and office chairs designed to provide maximum support and flexibility. Tucked away will be an iron, ironing board, hair dryer and private, in-room safe for added convenience."
23,King,https://media-cdn.tripadvisor.com/media/photo-s/12/1f/b7/18/newly-renovated-flamingo.jpg,"This renovated 350-square-foot room offers one king bed and a chaise. The room’s glamorous makeover mixes modern décor with pops of magenta, sleek furnishings, and artwork featuring vintage Vegas pictures and flamingos. Room amenities include a 55-inch HD TV, rain shower and sophisticated bathroom fixtures and lighting. The hotel’s center Strip location makes this Vegas room even more enticing. If you miss the classic Vegas soul and appreciate up-to-date style, this room’s for you."
23,Queen,https://images.oyster.com/photos/go-metro-suite--v11684691-960.jpg,"This renovated 350-square-foot room offers two queen beds and a chaise. The room’s glamorous makeover mixes modern décor with pops of magenta, sleek furnishings, and artwork featuring vintage Vegas and flamingos. Room amenities include a 55-inch HD TV, rain shower and sophisticated bathroom fixtures and lighting. The hotel’s center Strip location makes this Vegas room even more enticing. If you miss the classic Vegas soul and appreciate up-to-date style, this room’s for you."
23,King Suite,https://www.caesars.com/content/scaffold_pages/rooms/flamingo/flv/en/executive_suite_1k_ns/_jcr_content/cards/card/slide3.stdimg.hd.l.jpg/1517269155789.jpg,"You can do plenty with 1,400 square feet of space. The renovated, Flamingo Executive Suite has everything you’d want in a room, right in the heart of the Strip. It comes with one king bed, sofa, chaise and a vanity station. There’s also a separate bar and dining area. Amenities include a 55-inch and 65-inch HD TV, as well as a rain shower. New touches include magenta accents and artwork of vintage Vegas photos and flamingos. The suite is the perfect combination of Flamingo soul with a modern twist."
24,King,http://blog.caesars.com/las-vegas/wp-content/uploads/2015/10/Optimized-Final-Bedroom-Rendering.jpg,"Julius Deluxe Room | 1 King 
The Julius Deluxe Room features a modern interior with a warm neutral palette and a pop of golden yellow. The custom-upholstered headboard incorporates mirrored panels, while the stone and glass bathroom features a double sink vanity and hand-held showerhead. The custom artwork is a nod to Caesars' rich history of Roman-inspired sculpture and architecture. The Julius Tower is located in the center of the property with easy access to the casino."
24,Queen,https://www.lasvegas.com/media/slideshows/hotels/caesars/xlg_caesars-6-palace-tower-tower-premium.jpg.pagespeed.ic.wHqbfO7vJx.jpg,"Julius Deluxe Room | 2 Queens
The Julius Deluxe Room features a modern interior with a warm neutral palette and a pop of golden yellow. The custom-upholstered headboard incorporates mirrored panels, while the stone and glass bathroom features a double sink vanity and hand-held shower-head. The custom artwork is a nod to Caesars' rich history of Roman-inspired sculpture and architecture. The Julius Tower is located in the center of the property with easy access to the casino."
24,King Suite,https://www.caesars.com/content/scaffold_pages/rooms/caesars/clv/en/julius_royal__duplex_suite_1k/_jcr_content/cards/card/slide2.stdimg.hd.l.jpg/1491412308400.jpg,"Julius Duplex Suite | 1 King
This is far from your average duplex. The Julius Duplex feels more like a modern two-story home, right in the heart of the Strip. The newly-remodeled 2,084-square-foot duplex has all the bells and whistles of the Julius Executive Duplex, just with a bit more space. But you’ll need all of this space for your luxurious Vegas getaway. This duplex provides ample space for a relaxed after-party, including sectional couch seating and an eight-seat dining table. The custom-upholstered headboard incorporates mirrored panels, while the stone and glass bathroom features a double sink vanity and hand-held showerhead. The custom artwork is a nod to Caesars' rich history of Roman-inspired sculpture and architecture. You’re also a quick elevator ride to the casino. Your stay includes complimentary resort fees and round-trip airport limo service. "
24,Villa,https://media-cdn.tripadvisor.com/media/photo-s/0b/ee/37/e4/marc-antony-villa.jpg,"Stay in the 5,000-square-foot Marc Antony Villa and you’ll feel on top of the world – 20 stories high, to be exact. Enjoy your surroundings from your 800-square-foot patio, which display extravagant views of the Las Vegas Strip and an oversized spa pool. That’s only the beginning. Inside the three-bedroom villa you’ll find million-dollar furnishings, a grand piano, marble baths and a dining room where you’ll host the world’s finest banquet. Other divine touches include an indoor fountain and a fireplace. Your villa also comes with butler and round-trip airport limo service. Marc Antony will highly approve"
25,King,https://pix10.agoda.net/hotelImages/186483/-1/3451cb611482732c14256757762fb1e3.jpg?s=1024x768,"The City Studio provides high-end amenities at an affordable rate. A larger living area provides room to entertain friends, with a plush sleeping area, double vanity bathroom and spectacular views of the Strip and mountains beyond.
The art collection featured in the new suites draw inspiration from The Cosmopolitan’s dynamic visual art program that bolsters the resort’s distinctly different point of view. As the first Las Vegas resort to partner with Artspace and bring this exclusive collection on-property, we continue to reinforce our commitment to building a platform for art and culture as an integral part of The Cosmopolitan. Guests can bring their favorite art home by purchasing a print at artspace.com.
If more than two guests will be staying in the room, an additional fee of $35+tax per night per guest will be added to your reservation. If additional guests require a rollaway bed, one may be provided upon request."
25,Bungalow,https://www.rentalescapes.com/images/properties/122944/original/122944_15440466850003_original.jpg,"Three levels of luxury in an extravagant, exclusive Las Vegas bungalow
One of the most sought-after poolside experiences in Las Vegas, the spacious yet intimate Bungalow is the utmost in contemporary sophistication and splendor. With floor-to-ceiling windows overlooking the Marquee Dayclub Pool scene, this stylish, luxury suite is perfect for hosting any type of intimate occasion. A private patio with an array of stylish outdoor furniture invites you to entertain with elegance or enjoy secluded comfort. Bungalow guests also enjoy personal, round-the-clock butler service.
The first level Media Lounge boasts the latest in advanced technology, while the luxurious second level opens to a uniquely-styled master bedroom for 2 with a boudoir, lounge area, and vanity. Step onto marble floors stretched across decadent bathrooms featuring double showers and deep, inviting tubs. The oversized 3rd floor terrace is equipped with a sleek, outdoor kitchenette & bar along with a private heated plunge pool. With unexpected amenities and unmatched environments, our Las Vegas Bungalows offer a unique blend of style, grace and comfort.

Bungalows sleep up to 4 people. All guests must be 21+."
